dt,depart_city,depart_time,city_arrival,time_arrival,flight_numbers,n_stops,flight_lengths,ticket_prices,days_before_flight
21/12,ORY,11:20,VCP,"19:15
",Voo 8701,Direto,11.916666666666666,0,12
21/12,ORY,06:40,VCP,"16:55
",Voo 7350,1 conex,14.25,0,12
21/12,ORY,06:40,VCP,"22:10
",Voo 7350,1 conex,19.5,19081,12
21/12,ORY,08:00,VCP,"22:10
",Voo 7320,1 conex,18.166666666666668,0,12
21/12,ORY,11:00,VCP,"22:10
",Voo 7160,1 conex,15.166666666666666,19081,12
21/12,ORY,11:00,VCP,"16:55
",Voo 7160,1 conex,33.916666666666664,19081,12
21/12,ORY,12:35,VCP,"22:10
",Voo 7200,1 conex,13.583333333333334,0,12
21/12,ORY,12:35,VCP,"16:55
",Voo 7200,1 conex,32.333333333333336,0,12
26/12,VCP,23:25,ORY,"14:45
",Voo 9300,Direto,11.333333333333334,4840,12
26/12,VCP,19:15,ORY,"14:40
",Voo 8750,1 conex,15.416666666666666,19040,12
